Years,Date,Teams,INT,INT_TD,INT_YDS,LNG
2014,2014,Browns,21,2,333,62
2014,2014,Buccaneers,14,3,155,33
2014,2014,Cardinals,18,3,321,88
2014,2014,Chargers,7,0,65,27
2014,2014,Chiefs,6,1,95,39
2014,2014,Colts,12,1,143,47
2014,2014,Cowboys,18,2,228,58
2014,2014,Dolphins,14,2,299,81
2014,2014,Eagles,12,2,145,53
2014,2014,Falcons,16,1,113,23
2014,2014,Giants,17,0,236,39
2014,2014,Jaguars,6,1,80,55
2014,2014,Jets,6,0,36,25
2014,2014,Lions,20,1,388,70
2014,2014,49ers,23,2,315,73
2014,2014,Packers,18,3,396,82
2014,2014,Panthers,14,2,350,84
2014,2014,Patriots,16,0,184,60
2014,2014,Raiders,9,0,76,30
2014,2014,Rams,13,3,276,99
2014,2014,Ravens,11,1,135,44
2014,2014,Redskins,7,0,38,14
2014,2014,Saints,12,0,120,45
2014,2014,Seahawks,13,2,319,53
2014,2014,Steelers,11,4,242,52
2014,2014,Texans,20,4,483,80
2014,2014,Titans,12,1,122,34
2014,2014,Vikings,13,2,201,81
2013,2013,Bears,19,5,428,49
2013,2013,Bengals,20,4,200,60
2013,2013,Bills,23,2,289,57
2013,2013,Broncos,17,1,141,75
2013,2013,Browns,14,3,274,44
2013,2013,Buccaneers,21,3,338,85
2013,2013,Cardinals,20,4,251,43
2013,2013,Chargers,11,1,143,41
2013,2013,Chiefs,21,5,488,100
2013,2013,Colts,15,1,186,46
2013,2013,Cowboys,15,2,257,74
2013,2013,Dolphins,18,2,204,94
2013,2013,Eagles,19,1,294,76
2013,2013,Falcons,10,2,176,71
2013,2013,Giants,17,2,270,91
2013,2013,Jaguars,11,1,172,59
2013,2013,Jets,13,1,167,38
2013,2013,Lions,15,1,211,66
2013,2013,49ers,18,2,278,89
2013,2013,Packers,11,0,36,11
2013,2013,Panthers,20,4,234,45
2013,2013,Patriots,17,2,220,79
2013,2013,Raiders,9,1,83,43
2013,2013,Rams,14,2,256,98
2013,2013,Ravens,16,1,160,37
2013,2013,Redskins,16,4,247,45
2013,2013,Saints,12,0,169,43
2013,2013,Seahawks,28,3,385,58
2013,2013,Steelers,10,3,203,40
2013,2013,Texans,7,1,86,32
2013,2013,Titans,13,1,113,34
2013,2013,Vikings,12,0,78,30
2012,2012,Bears,24,8,488,74
2012,2012,Bengals,14,2,164,44
2012,2012,Bills,12,1,178,45
2012,2012,Broncos,16,5,347,98
2012,2012,Browns,17,2,230,50
2012,2012,Buccaneers,18,3,419,83
2012,2012,Cardinals,22,2,306,102
2012,2012,Chargers,14,5,336,80
2012,2012,Chiefs,7,0,119,32
2012,2012,Colts,12,4,155,51
2012,2012,Cowboys,7,1,147,47
2012,2012,Dolphins,10,0,99,31
2012,2012,Eagles,8,0,31,14
2012,2012,Falcons,20,1,246,79
2012,2012,Giants,21,1,496,70
2012,2012,Jaguars,12,0,122,21
2012,2012,Jets,11,2,117,40
2012,2012,Lions,11,0,135,29
2012,2012,49ers,14,2,216,63
2012,2012,Packers,18,1,246,72
2012,2012,Panthers,11,3,181,74
2012,2012,Patriots,20,2,371,87
2012,2012,Raiders,11,0,91,24
2012,2012,Rams,17,4,382,42
2012,2012,Ravens,13,2,196,63
2012,2012,Redskins,21,3,257,49
2012,2012,Saints,15,4,369,99
2012,2012,Seahawks,18,2,255,57
2012,2012,Steelers,10,1,127,53
2012,2012,Texans,15,3,333,86
2012,2012,Titans,19,4,358,79
2012,2012,Vikings,10,3,224,56
2011,2011,Bears,20,4,177,44
2011,2011,Bengals,10,1,137,75
2011,2011,Bills,20,4,341,43
2011,2011,Broncos,9,3,152,55
2011,2011,Browns,9,0,93,29
2011,2011,Buccaneers,14,3,195,43
2011,2011,Cardinals,10,0,117,49
2011,2011,Chargers,17,1,260,64
2011,2011,Chiefs,20,2,283,59
2011,2011,Colts,8,2,118,32
2011,2011,Cowboys,15,1,217,43
2011,2011,Dolphins,16,1,256,55
2011,2011,Eagles,15,1,192,35
2011,2011,Falcons,19,2,301,50
2011,2011,Giants,20,0,157,31
2011,2011,Jaguars,17,0,160,30
2011,2011,Jets,19,2,378,100
2011,2011,Lions,21,5,458,100
2011,2011,49ers,23,1,284,48
2011,2011,Packers,31,4,468,76
2011,2011,Panthers,14,0,197,53
2011,2011,Patriots,23,2,296,38
2011,2011,Raiders,18,0,252,73
2011,2011,Rams,12,1,169,51
2011,2011,Ravens,15,1,175,73
2011,2011,Redskins,13,1,127,30
2011,2011,Saints,9,1,80,42
2011,2011,Seahawks,22,4,462,94
2011,2011,Steelers,11,0,99,33
2011,2011,Texans,17,1,196,42
2011,2011,Titans,11,1,179,97
2011,2011,Vikings,8,0,152,52
