Years,Date,Teams,W,L,T,Super Bowl,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
2019,2019,Texans,10,6,0,0,0.625,378,385,-7,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0
2019,2019,Titans,9,7,0,0,0.563,402,331,71,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
2019,2019,Colts,7,9,0,0,0.438,361,373,-12,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,2 - 2 - 0,1L,1 - 4 - 0
2019,2019,Jaguars,6,10,0,0,0.375,300,397,-97,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,0 - 4 - 0,1W,2 - 3 - 0
2019,2019,Chiefs,12,4,0,0,0.75,451,308,143,5 - 3 - 0,7 - 1 - 0,6 - 0 - 0,1,9 - 3 - 0,0.75,3 - 1 - 0,6W,5 - 0 - 0
2019,2019,Broncos,7,9,0,0,0.438,282,316,-34,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,2W,4 - 1 - 0
2019,2019,Raiders,7,9,0,0,0.438,313,419,-106,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,2 - 2 - 0,1L,1 - 4 - 0
2019,2019,Chargers,5,11,0,0,0.313,337,345,-8,2 - 6 - 0,3 - 5 - 0,0 - 6 - 0,0,3 - 9 - 0,0.25,2 - 2 - 0,3L,1 - 4 - 0
2019,2019,Eagles,9,7,0,0,0.563,385,354,31,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,4W,4 - 1 - 0
2019,2019,Cowboys,8,8,0,0,0.5,434,321,113,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,1W,2 - 3 - 0
2019,2019,Giants,4,12,0,0,0.25,341,451,-110,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,1L,2 - 3 - 0
2019,2019,Redskins,3,13,0,0,0.188,266,435,-169,1 - 7 - 0,2 - 6 - 0,0 - 6 - 0,0,2 - 10 - 0,0.167,1 - 3 - 0,4L,1 - 4 - 0
2019,2019,Packers,13,3,0,0,0.813,376,313,63,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1,10 - 2 - 0,0.833,3 - 1 - 0,5W,5 - 0 - 0
2019,2019,Vikings,10,6,0,0,0.625,407,303,104,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0
2019,2019,Bears,8,8,0,0,0.5,280,298,-18,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,1W,3 - 2 - 0
2019,2019,Lions,3,12,1,0,0.219,341,423,-82,2 - 6 - 0,1 - 6 - 1,0 - 6 - 0,0,2 - 9 - 1,0.208,1 - 3 - 0,9L,0 - 5 - 0
2019,2019,Saints,13,3,0,0,0.813,458,341,117,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,4 - 0 - 0,3W,4 - 1 - 0
2019,2019,Falcons,7,9,0,0,0.438,381,399,-18,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,4W,4 - 1 - 0
2019,2019,Buccaneers,7,9,0,0,0.438,458,449,9,2 - 6 - 0,5 - 3 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,2L,3 - 2 - 0
2019,2019,Panthers,5,11,0,0,0.313,340,470,-130,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,3 - 1 - 0,8L,0 - 5 - 0
2019,2019,49ers,13,3,0,0,0.813,479,310,169,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,2W,3 - 2 - 0
2019,2019,Seahawks,11,5,0,0,0.688,405,398,7,4 - 4 - 0,7 - 1 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,3 - 1 - 0,2L,2 - 3 - 0
2019,2019,Rams,9,7,0,0,0.563,394,364,30,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
2019,2019,Cardinals,5,10,1,0,0.344,361,442,-81,2 - 5 - 1,3 - 5 - 0,1 - 5 - 0,0.167,3 - 8 - 1,0.292,2 - 2 - 0,1L,2 - 3 - 0
2018,2018,Patriots,11,5,0,0,0.688,436,325,111,8 - 0 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,2W,3 - 2 - 0
2018,2018,Dolphins,7,9,0,0,0.438,319,433,-114,6 - 2 - 0,1 - 7 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,3L,2 - 3 - 0
2018,2018,Bills,6,10,0,0,0.375,269,374,-105,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0
2018,2018,Jets,4,12,0,0,0.25,333,441,-108,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,3L,1 - 4 - 0
2018,2018,Ravens,10,6,0,0,0.625,389,287,102,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,2 - 2 - 0,3W,4 - 1 - 0
2018,2018,Steelers,9,6,1,0,0.594,428,360,68,5 - 3 - 0,4 - 3 - 1,4 - 1 - 1,0.75,6 - 5 - 1,0.542,3 - 1 - 0,1W,2 - 3 - 0
2018,2018,Browns,7,8,1,0,0.469,359,392,-33,5 - 2 - 1,2 - 6 - 0,3 - 2 - 1,0.583,5 - 6 - 1,0.458,2 - 2 - 0,1L,3 - 2 - 0
2018,2018,Bengals,6,10,0,0,0.375,368,455,-87,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,2L,1 - 4 - 0
2018,2018,Texans,11,5,0,0,0.688,402,316,86,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,2 - 2 - 0,1W,3 - 2 - 0
2018,2018,Colts,10,6,0,0,0.625,433,344,89,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,4W,4 - 1 - 0
2018,2018,Titans,9,7,0,0,0.563,310,303,7,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,4 - 0 - 0,1L,4 - 1 - 0
2018,2018,Jaguars,5,11,0,0,0.313,245,316,-71,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,1L,2 - 3 - 0
2018,2018,Chiefs,12,4,0,0,0.75,565,421,144,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 2 - 0,1W,3 - 2 - 0
2018,2018,Chargers,12,4,0,0,0.75,428,329,99,5 - 3 - 0,7 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,1W,4 - 1 - 0
2018,2018,Broncos,6,10,0,0,0.375,329,349,-20,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,4L,1 - 4 - 0
2018,2018,Raiders,4,12,0,0,0.25,290,467,-177,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,1L,2 - 3 - 0
2018,2018,Cowboys,10,6,0,0,0.625,339,324,15,7 - 1 - 0,3 - 5 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,1 - 3 - 0,2W,4 - 1 - 0
